product_name,brand,series,model,screen_size,screen_resolution,screen_type,cpu,gpu,ram,storage,os,price,image_url,product_url
MSI THIN 15 B13UCX FHD | INTEL CORE I5-13420H | RTX 2050 | 8 GB | 512 SSD,MSI,THIN,15 B13UCX FHD,15.6,FHD,IPS,Intel core I5-13420H,RTX 2050,8 GB,512 GB SSD,Windows 11 Home,2 075 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1730804914659.jpg&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/MSI-THIN-15-FHD-INTEL-CORE-I5-13420H-RTX-2050-8-GO-512-SSD'
MSI THIN 15 B13UCX FHD | INTEL CORE I5-13420H | RTX 2050 | 16 GB | 512 SSD + Sac A dos,MSI,THIN,15 B13UCX FHD,15.6,FHD,IPS,Intel core I5-13420H,RTX 2050,16 GB,512 GB SSD,Windows 11 Home,2 129 DT,https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1730807569246.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/MSI-THIN-15-B13UCX-FHD-INTEL-CORE-I5-13420H-RTX-2050-16-GO-512-SSD-Sac-A-dos
Pc portable HP Victus 15-fa1007nk | i5-13420H | 8GB RAM | RTX 2050 | 512 GB NVMe,HP,Victus,HP Victus 15-fa1007nk,15.6,FHD,IPS,Intel core I5-13420H,RTX 2050,8 GB,512 GB SSD,Windows 11 Home,2 149 DT,'https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1727948016061.webp&w=640&q=75,'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/Pc-portable-HP-Victus-15-fa1007nk-i5-13420H-8GB-RAM-RTX-2050-512-Go-NVMe
MSI THIN 15 B13UCX FHD | INTEL CORE I5-13420H | RTX 2050 | 24 GB | 512 SSD + Sac A dos,MSI,THIN,15 B13UCX FHD,15.6,FHD,IPS,Intel core I5-13420H,RTX 2050,24 GB,512 GB SSD,Windows 11 Home,2 169 DT,"https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1730807130471.webp&w=640&q=75",'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/MSI-THIN-15-B13UCX-FHD-INTEL-CORE-I5-13420H-RTX-2050-24-GO-512-SSD-Sac-A-dos
Pc portable HP Victus 15-fa1007nk | i5-13420H | 16GB RAM | RTX 2050 | 512 GB NVMe,HP,Victus,HP Victus 15-fa1007nk,15.6,FHD,IPS,Intel core I5-13420H,RTX 2050,16 GB,512 GB SSD,Windows 11 Home,2 195 DT,"https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1745859390665.png&w=640&q=75",'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/Pc-portable-HP-Victus-15-fa1007nk-i5-13420H-16GB-RAM-RTX-2050-512-Go-NVMe
MSI THIN 15 B13UCX FHD | INTEL CORE I5-13420H | RTX 2050 | 32 GB | 512 SSD + Sac A dos,MSI,THIN,15 B13UCX FHD,15.6,FHD,IPS,Intel core I5-13420H,RTX 2050,32 GB,512 GB SSD,Windows 11 Home,2 199 DT,"https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1730806078101.png&w=640&q=75",'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/MSI-THIN-15-B13UCX-FHD-INTEL-CORE-I5-13420H-RTX-2050-32-GO-512-SSD-Sac-A-dos
Pc portable HP Victus 15-fa1007nk | i5-13420H | 24GB RAM | RTX 2050 | 512 GB NVMe,HP,Victus,HP Victus 15-fa1007nk,15.6,FHD,IPS,Intel core I5-13420H,RTX 2050,24 GB,512 GB SSD,Windows 11 Home,2 229 DT,"https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1745918737941.png&w=640&q=75",'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/Pc-portable-HP-Victus-15-fa1007nk-i5-13420H-24GB-RAM-RTX-2050-512-Go-NVMe
"Lenovo LOQ 15IAX9 15.6"" FHD IPS | i5-12450HX | RTX 2050 | 8GB Ram | 512GB NVMe | Windows 11 Home",Lenovo,LOQ,15IAX9,"15.6""",FHD,IPS,Intel core I5-12450HX,RTX 2050,8 GB,512 GB SSD,Windows 11 Home,2169 DT,"https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1757600625605.webp&w=640&q=75",'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/Lenovo-LOQ-15IAX9-15-6-FHD-IPS-i5-12450HX-RTX-2050-8GB-Ram-512GB-NVMe-Windows-11-Home
Pc portable HP Victus 15-fa1007nk | i5-13420H | 32GB RAM | RTX 2050 | 512 GB NVMe,HP,Victus,HP Victus 15-fa1007nk,15.6,FHD,IPS,Intel core I5-13420H,RTX 2050,32 GB,512 GB SSD,Windows 11 Home,2 279 DT,"https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1745918737941.png&w=640&q=75",'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/Pc-portable-HP-Victus-15-fa1007nk-i5-13420H-RAM-RTX-2050-512-Go-NVMe
"Lenovo LOQ 15IAX9 15.6"" FHD IPS | i5-12450HX | RTX 2050 | 16GB Ram | 512GB NVMe | Windows 11 Home",Lenovo,LOQ,15IAX9,"15.6""",FHD,IPS,Intel core I5-12450HX,RTX 2050,16 GB,512 GB SSD,Windows 11 Home,2249 DT,"https://megapc.tn/_next/image?url=https%3A%2F%2Fstatic.gi-ga.tech%2F%2Fuploads%2Fgallerie%2F1757601806442.webp&w=640&q=75",'https://megapc.tn/shop/product/PC%20PORTABLE/PC%20PORTABLE%20GAMER/Lenovo-LOQ-15IAX9-15-6-FHD-IPS-i5-12450HX-RTX-2050-16GB-Ram-512GB-NVMe-Windows-11-Home
