sale_date,product_name,brand,series,cpu,gpu,ram,quantity,buying_price,unit_price,unit_profit,tva_percentage,unit_price_with_tva,total_amount,total_cost,total_profit,profit_margin,date,year,month,week,day_of_week,hour
2024-01-01 11:48:00,"MSI Thin 15 B13UDX-3257XFR | FHD 15.6"" IPS | Intel i7-13620H | RTX 3050 | 8GB Ram | 512 GB NVMe",MSI,Thin,Intel core i7-13620H,RTX 3050,8 GB,1,2102.76146988908,2799.0,696.2385301109198,4.297256589643226,2919.2802119441135,2919.2802119441135,2102.76146988908,696.2385301109198,33.110675655838705,2024-01-01,2024,1,1,Monday,11
2024-01-01 10:48:00,"Lenovo LOQ 15IAX9 15.6"" FHD IPS | i5-12450HX | RTX 2050 | 24GB Ram | 512GB NVMe | Windows 11 Home",Lenovo,LOQ,Intel core I5-12450HX,RTX 2050,24 GB,2,1831.1405514242167,2335.0,503.8594485757833,9.72918866945795,2562.176555431843,5124.353110863686,3662.2811028484334,1007.7188971515666,27.51615369906442,2024-01-01,2024,1,1,Monday,10
2024-01-01 15:16:00,MSI CYBORG 15 A13VE FHD | i5-13420H | RTX 4050 | 16GB RAM | SSD 512 GB,MSI,CYBORG,Intel core I5-13420H,RTX 4050,16 GB,1,2057.947072373547,3157.0,1099.0529276264529,3.741523922560336,3275.11991023523,3275.11991023523,2057.947072373547,1099.0529276264529,53.4053058205648,2024-01-01,2024,1,1,Monday,15
2024-01-01 19:53:00,MSI THIN 15 B13UCX FHD | INTEL CORE I5-13420H | RTX 2050 | 16 GB | 512 SSD + Sac A dos,MSI,THIN,Intel core I5-13420H,RTX 2050,16 GB,2,1351.525257978971,2129.0,777.474742021029,9.556428757689245,2332.4563682512044,4664.912736502409,2703.050515957942,1554.949484042058,57.525727871607856,2024-01-01,2024,1,1,Monday,19
2024-01-02 13:31:00,"ASUS V16 V3607VU-RP246 | 16"" FHD | Intel 7 240H | RTX 4050 | 16 GB | 512 GB SSD |",ASUS,V16,Intel Ultra core 7 240H,RTX 4050,16 GB,2,2433.734985683139,3179.0,745.2650143168612,9.18388361870904,3470.95566023876,6941.91132047752,4867.469971366278,1490.5300286337224,30.622274762905977,2024-01-02,2024,1,1,Tuesday,13
2024-01-02 15:58:00,MSI THIN 15 B13UCX FHD | INTEL CORE I5-13420H | RTX 2050 | 24 GB | 512 SSD + Sac A dos,MSI,THIN,Intel core I5-13420H,RTX 2050,24 GB,3,1453.5505081218794,2169.0,715.4494918781206,6.387926357773329,2307.5541227001036,6922.662368100311,4360.651524365638,2146.348475634362,49.22082087140866,2024-01-02,2024,1,1,Tuesday,15
2024-01-02 11:33:00,"DELL G15 5530 | 15.6"" | i5- 13450HX | RTX 3050 | 16GB RAM | 512GB SSD",DELL,G15,Intel core i5- 13450HX,RTX 3050,16 GB,5,1817.1643462271322,2459.0,641.8356537728678,3.7381801866358395,2550.921850789375,12754.609253946875,9085.82173113566,3209.178268864339,35.32072677440938,2024-01-02,2024,1,1,Tuesday,11
2024-01-03 11:59:00,MSI CYBORG 15 A13VE FHD | i5-13420H | RTX 4050 | 8GB RAM | SSD 512 GB,MSI,CYBORG,Intel core I5-13420H,RTX 4050,8 GB,3,1831.188912122444,2959.0,1127.811087877556,6.331731119758382,3146.35592383365,9439.067771500951,5493.566736367332,3383.433263632668,61.589008125347576,2024-01-03,2024,1,1,Wednesday,11
2024-01-03 17:02:00,ASUS V16 V3607VU-RP209 | Intel 5 210H | RTX 4050 | 8 GB | 512 GB SSD,ASUS,V16,Intel Ultra core 5 210H,RTX 4050,8 GB,3,2062.471447478845,2899.0,836.5285525211548,8.275576133048151,3138.9089520970656,9416.726856291196,6187.414342436536,2509.5856575634643,40.55952161392213,2024-01-03,2024,1,1,Wednesday,17
2024-01-03 14:51:00,Msi Thin 15 B13UCX FHD | Intel Core i7-13620H | RTX 2050 | 16 GB | 512 SSD,MSI,Thin,Intel core i7-13620H,RTX 2050,16 GB,4,1715.7522303139986,2425.0,709.2477696860014,4.887505167779041,2543.522000318642,10174.088001274567,6863.008921255994,2836.991078744006,41.33742373490621,2024-01-03,2024,1,1,Wednesday,14
2024-01-03 15:38:00,Pack Gigabyte G6 MF | Intel Core i7-13620H | RTX 4050 | 16GB Ram | 1TB NVMe | COOLINGPAD + Sac A Dos + Tapis + Souris,GIGABYTE,Gigabyte,Intel core i7-13620H,RTX 4050,16 GB,1,2189.8624676608065,3299.0,1109.1375323391935,2.0983441136030097,3368.2243723077636,3368.2243723077636,2189.8624676608065,1109.1375323391935,50.64873016998028,2024-01-03,2024,1,1,Wednesday,15
2024-01-03 18:27:00,Msi Thin 15 B13UCX FHD | Intel Core i7-13620H | RTX 2050 | 8 GB | 512 SSD,MSI,Thin,Intel core i7-13620H,RTX 2050,8 GB,1,1773.1034202430817,2389.0,615.8965797569183,5.72280788469014,2525.7178803652478,2525.7178803652478,1773.1034202430817,615.8965797569183,34.735513604304174,2024-01-03,2024,1,1,Wednesday,18
2024-01-04 21:11:00,MSI THIN 15 B13UCX FHD | INTEL CORE I5-13420H | RTX 2050 | 16 GB | 512 SSD + Sac A dos,MSI,THIN,Intel core I5-13420H,RTX 2050,16 GB,1,1351.525257978971,2129.0,777.474742021029,9.556428757689245,2332.4563682512044,2332.4563682512044,1351.525257978971,777.474742021029,57.525727871607856,2024-01-04,2024,1,1,Thursday,21
2024-01-04 18:54:00,Pc portable HP Victus 15-fa1007nk | i5-13420H | 16GB RAM | RTX 2050 | 512 GB NVMe,HP,Victus,Intel core I5-13420H,RTX 2050,16 GB,5,1634.872786348441,2195.0,560.127213651559,2.4041677639819286,2247.7714824194036,11238.857412097019,8174.363931742205,2800.636068257795,34.26121092287721,2024-01-04,2024,1,1,Thursday,18
2024-01-04 10:18:00,Pc portable HP Victus 15-fa1007nk | i5-13420H | 32GB RAM | RTX 2050 | 512 GB NVMe,HP,Victus,Intel core I5-13420H,RTX 2050,32 GB,1,1487.0468851819567,2279.0,791.9531148180433,6.41003510568888,2425.0847000586496,2425.0847000586496,1487.0468851819567,791.9531148180433,53.25676834467389,2024-01-04,2024,1,1,Thursday,10
2024-01-04 11:23:00,ASUS V16 V3607VJ-RP086 | Intel 5-210H | RTX 3050 | 16 GB | 512 GB SSD,ASUS,V16,Intel Ultra core 5 210H,RTX 3050,16 GB,3,1624.1618181605493,2449.0,824.8381818394507,2.650640588680904,2513.9141880167954,7541.742564050386,4872.485454481648,2474.514545518352,50.785468086771324,2024-01-04,2024,1,1,Thursday,11
2024-01-04 18:48:00,ASUS V16 V3607VJ-RP109 | Intel 7 240H | RTX 3050 | 32 GB | 512 GB SSD,ASUS,V16,Intel Ultra core 7 240H,RTX 3050,32 GB,4,2132.3764984318436,2919.0,786.6235015681564,1.5854643368675156,2965.279703993163,11861.118815972652,8529.505993727375,3146.4940062726255,36.88952219022493,2024-01-04,2024,1,1,Thursday,18
2024-01-05 16:28:00,"ASUS V16 V3607VU-RP196W | 16"" WUXGA, 144H | Intel Core 5 210H | RTX 4050 | 16GB Ram | 512GB",ASUS,V16,Intel Ultra core 5 210H,RTX 4050,512 GB,3,2139.7014228569014,2895.0,755.2985771430986,5.104629857953324,3042.7790343877487,9128.337103163245,6419.104268570704,2265.8957314292957,35.29925105787114,2024-01-05,2024,1,1,Friday,16
2024-01-05 09:53:00,Msi Thin 15 B13UCX FHD | Intel Core i7-13620H | RTX 2050 | 8 GB | 512 SSD,MSI,Thin,Intel core i7-13620H,RTX 2050,8 GB,2,1773.1034202430817,2389.0,615.8965797569183,5.72280788469014,2525.7178803652478,5051.4357607304955,3546.2068404861634,1231.7931595138366,34.735513604304174,2024-01-05,2024,1,1,Friday,9
2024-01-05 16:35:00,ASUS TUF F17 TUF707ZC4-HX112W | Intel i5-12500H | RTX 3050 | 8 GB | 512 GB SSD,ASUS,TUF,Intel core I5-12500H,RTX 3050,8 GB,5,2166.765273347905,2799.0,632.2347266520951,9.690688297671034,3070.2423654518125,15351.211827259063,10833.826366739524,3161.1736332604755,29.17873636008661,2024-01-05,2024,1,1,Friday,16
2024-01-06 10:53:00,Msi Thin 15 B13UCX FHD | Intel Core i7-13620H | RTX 2050 | 32 GB | 512 SSD,MSI,Thin,Intel core i7-13620H,RTX 2050,32 GB,5,1791.6988278584247,2539.0,747.3011721415753,2.2554447458683766,2596.2657420975984,12981.328710487993,8958.494139292123,3736.5058607078763,41.709084167611294,2024-01-06,2024,1,1,Saturday,10
2024-01-06 18:33:00,"Lenovo LOQ 15IAX9 15.6"" FHD IPS | i5-12450HX | RTX 2050 | 8GB Ram | 512GB NVMe | Windows 11 Home",Lenovo,LOQ,Intel core I5-12450HX,RTX 2050,8 GB,3,1640.186774380867,2169.0,528.8132256191329,8.795585311974417,2359.776245416725,7079.328736250175,4920.560323142601,1586.4396768573988,32.2410370501096,2024-01-06,2024,1,1,Saturday,18
2024-01-06 19:46:00,ASUS V16 V3607VJ-RP086 | Intel 5-210H | RTX 3050 | 32 GB | 512 GB SSD,ASUS,V16,Intel Ultra core 5 210H,RTX 3050,32 GB,1,1796.9740421151503,2595.0,798.0259578848497,6.506676052501415,2763.848243562412,2763.848243562412,1796.9740421151503,798.0259578848497,44.40943158786665,2024-01-06,2024,1,1,Saturday,19
2024-01-06 19:47:00,ASUS V16 V3607VJ-RP109 | Intel 7 240H | RTX 3050 | 32 GB | 512 GB SSD,ASUS,V16,Intel Ultra core 7 240H,RTX 3050,32 GB,5,2132.3764984318436,2919.0,786.6235015681564,1.5854643368675156,2965.279703993163,14826.398519965815,10661.882492159219,3933.117507840782,36.88952219022493,2024-01-06,2024,1,1,Saturday,19
2024-01-06 10:48:00,Msi Thin 15 B13UCX FHD | Intel Core i7-13620H | RTX 2050 | 16 GB | 512 SSD,MSI,Thin,Intel core i7-13620H,RTX 2050,16 GB,4,1715.7522303139986,2425.0,709.2477696860014,4.887505167779041,2543.522000318642,10174.088001274567,6863.008921255994,2836.991078744006,41.33742373490621,2024-01-06,2024,1,1,Saturday,10
2024-01-06 19:29:00,"DELL G15 5530 | 15.6"" | i5- 13450HX | RTX 3050 | 16GB RAM | 512GB SSD",DELL,G15,Intel core i5- 13450HX,RTX 3050,16 GB,4,1817.1643462271322,2459.0,641.8356537728678,3.7381801866358395,2550.921850789375,10203.6874031575,7268.657384908529,2567.342615091471,35.32072677440938,2024-01-06,2024,1,1,Saturday,19
2024-01-06 13:34:00,MSI CYBORG 15 A13VE FHD | i5-13420H | RTX 4050 | 8GB RAM | SSD 512 GB,MSI,CYBORG,Intel core I5-13420H,RTX 4050,8 GB,5,1831.188912122444,2959.0,1127.811087877556,6.331731119758382,3146.35592383365,15731.77961916825,9155.94456061222,5639.05543938778,61.589008125347576,2024-01-06,2024,1,1,Saturday,13
2024-01-06 15:28:00,Pack Gigabyte G6 MF | Intel Core i7-13620H | RTX 4050 | 16GB Ram | 1TB NVMe | COOLINGPAD + Sac A Dos + Tapis + Souris,GIGABYTE,Gigabyte,Intel core i7-13620H,RTX 4050,16 GB,5,2189.8624676608065,3299.0,1109.1375323391935,2.0983441136030097,3368.2243723077636,16841.121861538817,10949.312338304033,5545.687661695967,50.64873016998028,2024-01-06,2024,1,1,Saturday,15
